ingredient_a,ingredient_b,risk_level,interaction_effect
이부프로펜,나프록센,위험,동일 계열(NSAIDs) 소염진통제 중복 복용으로 위장관 출혈 및 위궤양 위험이 급증합니다.
이부프로펜,아스피린,주의,이부프로펜이 아스피린의 항혈소판 효과(피를 맑게 하는 효과)를 방해하여 심혈관 위험을 높일 수 있습니다.
나프록센,아스피린,위험,"위장관계 부작용(궤양, 출혈)의 발생 빈도와 중증도가 크게 증가하므로 병용을 피해야 합니다. "
덱시부프로펜,이부프로펜,위험,같은 계열의 소염진통제 성분이 중복되어 신장 독성 및 위장관 부작용 위험이 매우 높아집니다.
덱시부프로펜,나프록센,위험,NSAIDs 계열 진통제 중복으로 신장에 무리가 가고 급성 위통을 유발할 수 있습니다.
아세트아미노펜,이부프로펜,주의,"성분이 달라 단기 병용은 가능하나, 장기 복용 시 신장 기능 저하 및 독성 위험이 있어 주의가 필요합니다. "
아세트아미노펜,나프록센,주의,해열진통제와 소염진통제의 복용 간격을 지키지 않으면 간과 신장에 동시 부담을 줍니다.
수산화마그네슘,아스피린,주의,제산제가 위장 내 산도를 낮추어 아스피린의 체내 흡수율을 떨어뜨리고 약효를 감소시킵니다.
알마게이트,이부프로펜,주의,제산제 성분이 소염진통제의 흡수를 방해하여 진통 효과를 반감시킬 수 있습니다.
디멘히드리네이트,세티리진,위험,"두 약물 모두 항히스타민 작용을 하므로 병용 시 극심한 졸음, 시야 흐림, 뇨정체 등 부작용이 배가됩니다."
